value,designator,barcode,,mean,0.160132146,,,,
0.1513,J29_1,"	M0540064PI27407900J",,,,,,,
0.1562,J29_1,"	M0540064PI27407901D",,,,,,,
0.1547,J29_1,"	M0540064PI274079022",,,,,,,
0.1695,J29_1,"	M0540064PI274079026",,,,,,,
0.1723,J29_1,"	M0540064PI274079045",,,,,,,
0.1719,J29_1,"	M0540064PI27407904C",,,,,,,
0.1511,J29_1,"	M0540064PI27407904A",,,,,,,
0.165,J29_1,"	M0540064PI27407902K",,,,,,,
0.1546,J29_1,"	M0540064PI27407902L",,,,,,,
0.1602,J29_1,"	M0540064PI27407902J",,,,,,,
0.1577,J29_1,"	M0540064PI27407902V",,,,,,,
0.17,J29_1,"	M0540064PI27407904F",,,,,,,
0.1569,J29_1,"	M0540064PI274079048",,,,,,,
0.17,J29_1,"	M0540064PI274079042",,,,,,,
0.1557,J29_1,"	M0540064PI274079040",,,,,,,
0.1712,J29_1,"	M0540064PI274079047",,,,,,,
0.1588,J29_1,"	M0540064PI274079043",,,,,,,
0.1717,J29_1,"	M0540064PI27407903Y",,,,,,,
0.1559,J29_1,"	M0540064PI274079046",,,,,,,
0.1705,J29_1,"	M0540064PI27407903U",,,,,,,
0.1572,J29_1,"	M0540064PI27407903R",,,,,,,
0.1697,J29_1,"	M0540064PI27407901Z",,,,,,,
0.161,J29_1,"	M0540064PI27407903K",,,,,,,
0.1641,J29_1,"	M0540064PI27407903C",,,,,,,
0.1547,J29_1,"	M0540064PI27407903F",,,,,,,
0.1622,J29_1,"	M0540064PI27407903D",,,,,,,
0.158,J29_1,"	M0540064PI27407902R",,,,,,,
0.1713,J29_1,"	M0540064PI274079044",,,,,,,
0.1504,J29_1,"	M0540064PI27407901S",,,,,,,
0.147,J29_1,"	M0540064PI27407900A",,,,,,,
0.1711,J29_1,"	M0540064PI27407902Y",,,,,,,
0.1722,J29_1,"	M0540064PI27407900F",,,,,,,
0.1439,J29_1,"	M0540064PI27407901E",,,,,,,
0.1656,J29_1,"	M0540064PI27407901F",,,,,,,
0.1452,J29_1,"	M0540064PI27407900W",,,,,,,
0.1478,J29_1,"	M0540064PI27407900Y",,,,,,,
0.1731,J29_1,"	M0540064PI27407900D",,,,,,,
0.1642,J29_1,"	M0540064PI27407901G",,,,,,,
0.1692,J29_1,"	M0540064PI27407900B",,,,,,,
0.1665,J29_1,"	M0540064PI27407900C",,,,,,,
0.1782,J29_1,"	M0540064PI274079001",,,,,,,
0.1676,J29_1,"	M0540064PI27407900Z",,,,,,,
0.1447,J29_1,"	M0540064PI274079013",,,,,,,
0.171,J29_1,"	M0540064PI27407900H",,,,,,,
0.157,J29_1,"	M0540064PI274079017",,,,,,,
0.143,J29_1,"	M0540064PI274079012",,,,,,,
0.1519,J29_1,"	M0540064PI274079010",,,,,,,
0.1541,J29_1,"	M0540064PI274079009",,,,,,,
0.1503,J29_1,"	M0540064PI27407901K",,,,,,,
0.1541,J29_1,"	M0540064PI274079008",,,,,,,
0.1665,J29_1,"	M0540064PI274079007",,,,,,,
0.1463,J29_1,"	M0540064PI274079016",,,,,,,
0.1477,J29_1,"	M0540064PI274079003",,,,,,,
0.1537,J29_1,"	M0540064PI274079011",,,,,,,
0.1651,J29_1,"	M0540064PI27407900E",,,,,,,
0.1481,J29_1,"	M0540064PI27407900N",,,,,,,
0.1515,J29_1,"	M0540064PI274079033",,,,,,,
0.1643,J29_1,"	M0540064PI27407902X",,,,,,,
0.1559,J29_1,"	M0540064PI27407902U",,,,,,,
0.1708,J29_1,"	M0540064PI27407902N",,,,,,,
0.1498,J29_1,"	M0540064PI27407901X",,,,,,,
0.1681,J29_1,"	M0540064PI27407901W",,,,,,,
0.1525,J29_1,"	M0540064PI274079028",,,,,,,
0.1629,J29_1,"	M0540064PI27407901V",,,,,,,
0.1468,J29_1,"	M0540064PI274079019",,,,,,,
0.1681,J29_1,"	M0540064PI27407901M",,,,,,,
0.146,J29_1,"	M0540064PI27407901P",,,,,,,
0.149,J29_1,"	M0540064PI27407901U",,,,,,,
0.166,J29_1,"	M0540064PI274079020",,,,,,,
0.1499,J29_1,"	M0540064PI27407900S",,,,,,,
0.1592,J29_1,"	M0540064PI27407900V",,,,,,,
0.1479,J29_1,"	M0540064PI27407901L",,,,,,,
0.1687,J29_1,"	M0540064PI274079023",,,,,,,
0.1485,J29_1,"	M0540064PI27407901N",,,,,,,
0.1729,J29_1,"	M0540064PI27407901J",,,,,,,
0.1507,J29_1,"	M0540064PI27407901R",,,,,,,
0.1508,J29_1,"	M0540064PI27407902T",,,,,,,
0.1546,J29_1,"	M0540064PI274079025",,,,,,,
0.1544,J29_1,"	M0540064PI27407902S",,,,,,,
0.1565,J29_1,"	M0540064PI27407902M",,,,,,,
0.1606,J29_1,"	M0540064PI27407904D",,,,,,,
0.1493,J29_1,"	M0540064PI27407903Z",,,,,,,
0.1664,J29_1,"	M0540064PI274079029",,,,,,,
0.1498,J29_1,"	M0540064PI27407901C",,,,,,,
0.1526,J29_1,"	M0540064PI274079036",,,,,,,
0.1591,J29_1,"	M0540064PI274079049",,,,,,,
0.1754,J29_1,"	M0540064PI27407904E",,,,,,,
0.1527,J29_1,"	M0540064PI27407904B",,,,,,,
0.1679,J29_1,"	M0540064PI27407903P",,,,,,,
0.1496,J29_1,"	M0540064PI27407902E",,,,,,,
0.1724,J29_1,"	M0540064PI27407902C",,,,,,,
0.1537,J29_1,"	M0540064PI27407902D",,,,,,,
0.1591,J29_1,"	M0540064PI27407902A",,,,,,,
0.1589,J29_1,"	M0540064PI27407904J",,,,,,,
0.1422,J29_1,"	M0540064PI274079021",,,,,,,
0.1544,J29_1,"	M0540064PI27407904K",,,,,,,
0.1521,J29_1,"	M0540064PI27407904M",,,,,,,
0.1589,J29_1,"	M0540064PI27407904N",,,,,,,
0.1533,J29_1,"	M0540064PI27407904G",,,,,,,
0.1728,J29_1,"	M0540064PI27407904H",,,,,,,
0.1458,J29_1,"	M0540064PI27407900J",,,,,,,
0.1575,J29_1,"	M0540064PI27407901D",,,,,,,
0.1486,J29_1,"	M0540064PI274079022",,,,,,,
0.1716,J29_1,"	M0540064PI274079026",,,,,,,
0.1724,J29_1,"	M0540064PI274079045",,,,,,,
0.172,J29_1,"	M0540064PI27407904C",,,,,,,
0.1485,J29_1,"	M0540064PI27407904A",,,,,,,
0.1621,J29_1,"	M0540064PI27407902K",,,,,,,
0.1473,J29_1,"	M0540064PI27407902L",,,,,,,
0.1569,J29_1,"	M0540064PI27407902J",,,,,,,
0.1511,J29_1,"	M0540064PI27407902V",,,,,,,
0.1705,J29_1,"	M0540064PI27407904F",,,,,,,
0.1519,J29_1,"	M0540064PI274079048",,,,,,,
0.1712,J29_1,"	M0540064PI274079042",,,,,,,
0.153,J29_1,"	M0540064PI274079040",,,,,,,
0.1697,J29_1,"	M0540064PI274079047",,,,,,,
0.1525,J29_1,"	M0540064PI274079043",,,,,,,
0.1696,J29_1,"	M0540064PI27407903Y",,,,,,,
0.1526,J29_1,"	M0540064PI274079046",,,,,,,
0.1758,J29_1,"	M0540064PI27407903U",,,,,,,
0.1532,J29_1,"	M0540064PI27407903R",,,,,,,
