value,designator,barcode,,mean,0.164993062,,,,
0.1661,UD8_1,"	M0540064PI27407902Y",,,,,,,
0.1552,UD8_1,"	M0540064PI27407900F",,,,,,,
0.1463,UD8_1,"	M0540064PI27407901E",,,,,,,
0.1481,UD8_1,"	M0540064PI27407901F",,,,,,,
0.1626,UD8_1,"	M0540064PI27407900W",,,,,,,
0.1694,UD8_1,"	M0540064PI27407900Y",,,,,,,
0.1496,UD8_1,"	M0540064PI27407900D",,,,,,,
0.1473,UD8_1,"	M0540064PI27407901G",,,,,,,
0.1638,UD8_1,"	M0540064PI27407900B",,,,,,,
0.1582,UD8_1,"	M0540064PI27407900C",,,,,,,
0.1551,UD8_1,"	M0540064PI274079001",,,,,,,
0.163,UD8_1,"	M0540064PI27407900Z",,,,,,,
0.1716,UD8_1,"	M0540064PI274079013",,,,,,,
0.1883,UD8_1,"	M0540064PI27407900H",,,,,,,
0.1578,UD8_1,"	M0540064PI274079017",,,,,,,
0.1622,UD8_1,"	M0540064PI274079012",,,,,,,
0.1545,UD8_1,"	M0540064PI274079010",,,,,,,
0.1655,UD8_1,"	M0540064PI274079009",,,,,,,
0.1536,UD8_1,"	M0540064PI27407901K",,,,,,,
0.1471,UD8_1,"	M0540064PI274079008",,,,,,,
0.153,UD8_1,"	M0540064PI274079007",,,,,,,
0.1711,UD8_1,"	M0540064PI274079016",,,,,,,
0.1414,UD8_1,"	M0540064PI274079003",,,,,,,
0.1524,UD8_1,"	M0540064PI274079011",,,,,,,
0.1576,UD8_1,"	M0540064PI27407900E",,,,,,,
0.1662,UD8_1,"	M0540064PI27407900N",,,,,,,
0.1739,UD8_1,"	M0540064PI274079033",,,,,,,
0.1403,UD8_1,"	M0540064PI27407902X",,,,,,,
0.1735,UD8_1,"	M0540064PI27407902U",,,,,,,
0.1506,UD8_1,"	M0540064PI27407902N",,,,,,,
0.1487,UD8_1,"	M0540064PI27407901X",,,,,,,
0.1491,UD8_1,"	M0540064PI27407901W",,,,,,,
0.1568,UD8_1,"	M0540064PI274079028",,,,,,,
0.1558,UD8_1,"	M0540064PI27407901V",,,,,,,
0.1488,UD8_1,"	M0540064PI274079019",,,,,,,
0.1842,UD8_1,"	M0540064PI27407901M",,,,,,,
0.1351,UD8_1,"	M0540064PI27407901P",,,,,,,
0.1584,UD8_1,"	M0540064PI27407901U",,,,,,,
0.1661,UD8_1,"	M0540064PI274079020",,,,,,,
0.1622,UD8_1,"	M0540064PI27407900S",,,,,,,
0.1751,UD8_1,"	M0540064PI27407900V",,,,,,,
0.1546,UD8_1,"	M0540064PI27407901L",,,,,,,
0.1917,UD8_1,"	M0540064PI274079023",,,,,,,
0.1478,UD8_1,"	M0540064PI27407901N",,,,,,,
0.1517,UD8_1,"	M0540064PI27407901J",,,,,,,
0.1651,UD8_1,"	M0540064PI27407901R",,,,,,,
0.1495,UD8_1,"	M0540064PI27407902T",,,,,,,
0.1562,UD8_1,"	M0540064PI274079025",,,,,,,
0.148,UD8_1,"	M0540064PI27407902S",,,,,,,
0.1453,UD8_1,"	M0540064PI27407902M",,,,,,,
0.1422,UD8_1,"	M0540064PI27407904D",,,,,,,
0.1771,UD8_1,"	M0540064PI27407903Z",,,,,,,
0.1588,UD8_1,"	M0540064PI274079029",,,,,,,
0.152,UD8_1,"	M0540064PI27407901C",,,,,,,
0.1617,UD8_1,"	M0540064PI274079036",,,,,,,
0.155,UD8_1,"	M0540064PI274079049",,,,,,,
0.1478,UD8_1,"	M0540064PI27407904E",,,,,,,
0.1327,UD8_1,"	M0540064PI27407904B",,,,,,,
0.1581,UD8_1,"	M0540064PI27407903P",,,,,,,
0.1727,UD8_1,"	M0540064PI27407902E",,,,,,,
0.1463,UD8_1,"	M0540064PI27407902C",,,,,,,
0.1595,UD8_1,"	M0540064PI27407902D",,,,,,,
0.1638,UD8_1,"	M0540064PI27407902A",,,,,,,
0.1461,UD8_1,"	M0540064PI27407904J",,,,,,,
0.1485,UD8_1,"	M0540064PI274079021",,,,,,,
0.1671,UD8_1,"	M0540064PI27407904K",,,,,,,
0.1523,UD8_1,"	M0540064PI27407904M",,,,,,,
0.1513,UD8_1,"	M0540064PI27407904N",,,,,,,
0.1323,UD8_1,"	M0540064PI27407904G",,,,,,,
0.1625,UD8_1,"	M0540064PI27407904H",,,,,,,
0.1558,UD8_1,"	M0540064PI27407900J",,,,,,,
0.1866,UD8_1,"	M0540064PI27407901D",,,,,,,
0.1531,UD8_1,"	M0540064PI274079022",,,,,,,
0.1853,UD8_1,"	M0540064PI274079026",,,,,,,
0.1496,UD8_1,"	M0540064PI274079045",,,,,,,
0.157,UD8_1,"	M0540064PI27407904C",,,,,,,
0.1762,UD8_1,"	M0540064PI27407904A",,,,,,,
0.1527,UD8_1,"	M0540064PI27407902K",,,,,,,
0.1637,UD8_1,"	M0540064PI27407902L",,,,,,,
0.1594,UD8_1,"	M0540064PI27407902J",,,,,,,
0.1542,UD8_1,"	M0540064PI27407902V",,,,,,,
0.167,UD8_1,"	M0540064PI27407904F",,,,,,,
0.1574,UD8_1,"	M0540064PI274079048",,,,,,,
0.1443,UD8_1,"	M0540064PI274079042",,,,,,,
0.1617,UD8_1,"	M0540064PI274079040",,,,,,,
0.1719,UD8_1,"	M0540064PI274079047",,,,,,,
0.1756,UD8_1,"	M0540064PI274079043",,,,,,,
0.1553,UD8_1,"	M0540064PI27407903Y",,,,,,,
0.1512,UD8_1,"	M0540064PI274079046",,,,,,,
0.1577,UD8_1,"	M0540064PI27407903U",,,,,,,
0.1527,UD8_1,"	M0540064PI27407903R",,,,,,,
0.1541,UD8_1,"	M0540064PI27407901Z",,,,,,,
0.138,UD8_1,"	M0540064PI27407903K",,,,,,,
0.1593,UD8_1,"	M0540064PI27407903C",,,,,,,
0.1545,UD8_1,"	M0540064PI27407903F",,,,,,,
0.1308,UD8_1,"	M0540064PI27407903D",,,,,,,
0.1554,UD8_1,"	M0540064PI27407902R",,,,,,,
0.2271,UD8_1,"	M0540064PI274079044",,,,,,,
0.1561,UD8_1,"	M0540064PI27407901S",,,,,,,
0.1851,UD8_1,"	M0540064PI27407900A",,,,,,,
0.1729,UD8_1,"	M0540064PI27407902Y",,,,,,,
0.1641,UD8_1,"	M0540064PI27407900F",,,,,,,
0.1563,UD8_1,"	M0540064PI27407901E",,,,,,,
0.1595,UD8_1,"	M0540064PI27407901F",,,,,,,
0.1566,UD8_1,"	M0540064PI27407900W",,,,,,,
0.1786,UD8_1,"	M0540064PI27407900Y",,,,,,,
0.1519,UD8_1,"	M0540064PI27407900D",,,,,,,
0.156,UD8_1,"	M0540064PI27407901G",,,,,,,
0.1651,UD8_1,"	M0540064PI27407900B",,,,,,,
0.1605,UD8_1,"	M0540064PI27407900C",,,,,,,
0.172,UD8_1,"	M0540064PI274079001",,,,,,,
0.1616,UD8_1,"	M0540064PI27407900Z",,,,,,,
0.1575,UD8_1,"	M0540064PI274079013",,,,,,,
0.1947,UD8_1,"	M0540064PI27407900H",,,,,,,
0.1549,UD8_1,"	M0540064PI274079017",,,,,,,
0.1833,UD8_1,"	M0540064PI274079012",,,,,,,
0.1598,UD8_1,"	M0540064PI274079010",,,,,,,
0.1661,UD8_1,"	M0540064PI274079009",,,,,,,
0.1494,UD8_1,"	M0540064PI27407901K",,,,,,,
0.1455,UD8_1,"	M0540064PI274079008",,,,,,,
0.1573,UD8_1,"	M0540064PI274079007",,,,,,,
0.1402,UD8_1,"	M0540064PI274079016",,,,,,,
0.1434,UD8_1,"	M0540064PI274079003",,,,,,,
0.1419,UD8_1,"	M0540064PI274079011",,,,,,,
0.1566,UD8_1,"	M0540064PI27407900E",,,,,,,
0.1563,UD8_1,"	M0540064PI27407900N",,,,,,,
0.1877,UD8_1,"	M0540064PI274079033",,,,,,,
0.1535,UD8_1,"	M0540064PI27407902X",,,,,,,
0.1616,UD8_1,"	M0540064PI27407902U",,,,,,,
0.1543,UD8_1,"	M0540064PI27407902N",,,,,,,
0.1485,UD8_1,"	M0540064PI27407901X",,,,,,,
0.1475,UD8_1,"	M0540064PI27407901W",,,,,,,
0.1577,UD8_1,"	M0540064PI274079028",,,,,,,
0.1661,UD8_1,"	M0540064PI27407901V",,,,,,,
0.138,UD8_1,"	M0540064PI274079019",,,,,,,
0.2092,UD8_1,"	M0540064PI27407901M",,,,,,,
0.1421,UD8_1,"	M0540064PI27407901P",,,,,,,
0.1591,UD8_1,"	M0540064PI27407901U",,,,,,,
0.1575,UD8_1,"	M0540064PI274079020",,,,,,,
0.157,UD8_1,"	M0540064PI27407900S",,,,,,,
0.162,UD8_1,"	M0540064PI27407900V",,,,,,,
0.1519,UD8_1,"	M0540064PI27407901L",,,,,,,
0.1677,UD8_1,"	M0540064PI274079023",,,,,,,
0.1511,UD8_1,"	M0540064PI27407901N",,,,,,,
0.1577,UD8_1,"	M0540064PI27407901J",,,,,,,
0.1587,UD8_1,"	M0540064PI27407901R",,,,,,,
0.1501,UD8_1,"	M0540064PI27407902T",,,,,,,
0.1544,UD8_1,"	M0540064PI274079025",,,,,,,
0.1613,UD8_1,"	M0540064PI27407902S",,,,,,,
0.1417,UD8_1,"	M0540064PI27407902M",,,,,,,
0.148,UD8_1,"	M0540064PI27407904D",,,,,,,
0.1871,UD8_1,"	M0540064PI27407903Z",,,,,,,
0.1544,UD8_1,"	M0540064PI274079029",,,,,,,
0.1321,UD8_1,"	M0540064PI27407901C",,,,,,,
0.1576,UD8_1,"	M0540064PI274079036",,,,,,,
0.1508,UD8_1,"	M0540064PI274079049",,,,,,,
0.1487,UD8_1,"	M0540064PI27407904E",,,,,,,
0.1351,UD8_1,"	M0540064PI27407904B",,,,,,,
0.1563,UD8_1,"	M0540064PI27407903P",,,,,,,
0.1713,UD8_1,"	M0540064PI27407902E",,,,,,,
0.1514,UD8_1,"	M0540064PI27407902C",,,,,,,
0.1638,UD8_1,"	M0540064PI27407902D",,,,,,,
0.1667,UD8_1,"	M0540064PI27407902A",,,,,,,
0.1423,UD8_1,"	M0540064PI27407904J",,,,,,,
0.1581,UD8_1,"	M0540064PI274079021",,,,,,,
0.1543,UD8_1,"	M0540064PI27407904K",,,,,,,
0.1384,UD8_1,"	M0540064PI27407904M",,,,,,,
0.1524,UD8_1,"	M0540064PI27407904N",,,,,,,
0.1475,UD8_1,"	M0540064PI27407904G",,,,,,,
0.1654,UD8_1,"	M0540064PI27407904H",,,,,,,
0.1615,UD8_1,"	M0540064PI27407900J",,,,,,,
0.1678,UD8_1,"	M0540064PI27407901D",,,,,,,
0.1558,UD8_1,"	M0540064PI274079022",,,,,,,
0.1732,UD8_1,"	M0540064PI274079026",,,,,,,
0.1525,UD8_1,"	M0540064PI274079045",,,,,,,
0.1606,UD8_1,"	M0540064PI27407904C",,,,,,,
0.1795,UD8_1,"	M0540064PI27407904A",,,,,,,
0.1585,UD8_1,"	M0540064PI27407902K",,,,,,,
0.1571,UD8_1,"	M0540064PI27407902L",,,,,,,
0.1627,UD8_1,"	M0540064PI27407902J",,,,,,,
0.1737,UD8_1,"	M0540064PI27407902V",,,,,,,
0.1683,UD8_1,"	M0540064PI27407904F",,,,,,,
0.163,UD8_1,"	M0540064PI274079048",,,,,,,
0.1455,UD8_1,"	M0540064PI274079042",,,,,,,
0.1673,UD8_1,"	M0540064PI274079040",,,,,,,
0.1754,UD8_1,"	M0540064PI274079047",,,,,,,
0.1691,UD8_1,"	M0540064PI274079043",,,,,,,
0.1518,UD8_1,"	M0540064PI27407903Y",,,,,,,
0.1527,UD8_1,"	M0540064PI274079046",,,,,,,
0.1551,UD8_1,"	M0540064PI27407903U",,,,,,,
0.1434,UD8_1,"	M0540064PI27407903R",,,,,,,
0.1524,UD8_1,"	M0540064PI27407901Z",,,,,,,
0.1448,UD8_1,"	M0540064PI27407903K",,,,,,,
0.1516,UD8_1,"	M0540064PI27407903C",,,,,,,
0.1503,UD8_1,"	M0540064PI27407903F",,,,,,,
0.1322,UD8_1,"	M0540064PI27407903D",,,,,,,
0.1526,UD8_1,"	M0540064PI27407902R",,,,,,,
0.1808,UD8_1,"	M0540064PI274079044",,,,,,,
0.1801,UD8_1,"	M0540064PI27407901S",,,,,,,
0.1981,UD8_1,"	M0540064PI27407900A",,,,,,,
0.1809,UD8_1,"	M0540064PI27407902Y",,,,,,,
0.1636,UD8_1,"	M0540064PI27407900F",,,,,,,
0.1665,UD8_1,"	M0540064PI27407901E",,,,,,,
0.1689,UD8_1,"	M0540064PI27407901F",,,,,,,
0.1667,UD8_1,"	M0540064PI27407900W",,,,,,,
0.1633,UD8_1,"	M0540064PI27407900Y",,,,,,,
0.1569,UD8_1,"	M0540064PI27407900D",,,,,,,
0.1685,UD8_1,"	M0540064PI27407901G",,,,,,,
0.1652,UD8_1,"	M0540064PI27407900B",,,,,,,
0.1762,UD8_1,"	M0540064PI27407900C",,,,,,,
0.1733,UD8_1,"	M0540064PI274079001",,,,,,,
0.1833,UD8_1,"	M0540064PI27407900Z",,,,,,,
0.1768,UD8_1,"	M0540064PI274079013",,,,,,,
0.1861,UD8_1,"	M0540064PI27407900H",,,,,,,
0.1627,UD8_1,"	M0540064PI274079017",,,,,,,
0.182,UD8_1,"	M0540064PI274079012",,,,,,,
0.1611,UD8_1,"	M0540064PI274079010",,,,,,,
0.1715,UD8_1,"	M0540064PI274079009",,,,,,,
0.1556,UD8_1,"	M0540064PI27407901K",,,,,,,
0.1687,UD8_1,"	M0540064PI274079008",,,,,,,
0.1462,UD8_1,"	M0540064PI274079007",,,,,,,
0.1528,UD8_1,"	M0540064PI274079016",,,,,,,
0.1485,UD8_1,"	M0540064PI274079003",,,,,,,
0.1506,UD8_1,"	M0540064PI274079011",,,,,,,
0.1743,UD8_1,"	M0540064PI27407900E",,,,,,,
